Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
ACBD3	-0.123580611	0.10026012	0.263008626	178	178
ACBD4	0.103498243	0.169038625	0.36671089	178	178
ACBD5	0.083942645	0.26527416	0.481606682	178	178
ACBD6	-0.122487042	0.10335392	0.267853265	178	178
ACBD7	-0.141499061	0.059561831	0.18541808	178	178
CAMK2B	0.245581446	0.000952718	0.009105386	178	176
MS4A7	0.24635797	0.000946783	0.009053038	178	178
ACCN3	-0.203801564	0.006441801	0.038172061	178	178
ACCN4	-0.16648684	0.026345067	0.105776113	178	166
ACCN5	-0.061883869	0.411871943	0.626296201	178	13
ACCSL	-0.169465588	0.023734135	0.098040274	178	8
ACCS	0.06074395	0.420190763	0.63445725	178	178
ACD	-0.165229589	0.027518801	0.109178528	178	178
ACE2	0.225045722	0.002579751	0.019418343	178	178
ACER1	0.033654359	0.655620248	0.80900061	178	80
ACER2	0.007390984	0.921931748	0.96001376	178	178
ACER3	0.057875648	0.442500911	0.654998799	178	178
ACE	0.008622992	0.908968858	0.953765938	178	178
ACHE	-0.012987151	0.863266607	0.931125292	178	178
ACIN1	0.008918764	0.90594471	0.952070084	178	178
ACLY	0.056615978	0.452507661	0.663248572	178	178
ACMSD	0.118905536	0.113915852	0.284919309	178	165
ACN9	0.02730846	0.717470907	0.84845593	178	178
SPESP1	0.246483511	0.000940968	0.009001792	178	177
ACO2	-0.016986398	0.821943168	0.909540036	178	178
ACOT11	-0.122337964	0.103743168	0.268493061	178	178
ACOT12	-0.022753539	0.763055832	0.874654572	178	46
ACOT13	0.043574614	0.563577115	0.745564738	178	178
ACOT1	0.008956	0.905553838	0.95194378	178	178
ACOT2	0.089218441	0.236047773	0.448938028	178	178
ACOT4	0.048870713	0.516748122	0.712072219	178	178
ACOT6	0.189059429	0.011489998	0.058048858	178	141
EDARADD	0.246579263	0.000936555	0.008963913	178	178
ACOT8	-0.181160685	0.015519851	0.072550719	178	178
ACOT9	-0.106792109	0.155824076	0.348478191	178	178
IL18BP	0.246006339	0.000932865	0.008932919	178	178
ACOX2	0.162609091	0.03020935	0.11605978	178	178
ACOX3	0.211799202	0.004538065	0.029498913	178	178
ACOXL	-0.086812381	0.249223136	0.463650229	178	171
ACP1	0.093227304	0.215811769	0.425215416	178	178
ACP2	0.19657123	0.008633125	0.047301585	178	178
ACP5	0.020624984	0.784651806	0.88889172	178	178
ACP6	-0.112307419	0.135463164	0.318673729	178	178
ACPL2	0.202812127	0.006708862	0.039409276	178	178
ACPP	0.0796401	0.290637061	0.509129806	178	177
ACPT	-0.047443128	0.529437387	0.720515822	178	31
ACRBP	0.112115915	0.136134116	0.319690829	178	178
ACRC	0.053568968	0.477596198	0.682664972	178	178
ACRV1	-0.056197087	0.456229742	0.66644883	178	133
ACR	-0.064359398	0.393383606	0.61000372	178	161
ACSBG1	-0.014866016	0.843720887	0.921091858	178	178
ACSBG2	0.010741354	0.886841464	0.942563994	178	125
ACSF2	0.186565255	0.012649525	0.06225279	178	178
ACSF3	-0.030402329	0.68705628	0.829214531	178	178
ACSL1	0.037204958	0.621977468	0.786883074	178	178
ACSL3	-0.017731145	0.814274859	0.905379576	178	178
ACSL4	0.15576725	0.037871448	0.136655113	178	178
ACSL5	-0.119810113	0.111122901	0.280523967	178	178
RAD54L	-0.246088931	0.000929051	0.008900701	178	178
MYLIP	0.246127363	0.000927281	0.008888049	178	178
ACSM2A	0.154553382	0.039411402	0.14045088	178	100
ACSM2B	0.223848148	0.002667389	0.019892822	178	88
MCM7	-0.246249713	0.000921666	0.008838516	178	178
ACSM4	-0.007970644	0.915904391	0.957380293	178	16
ACO1	0.246930353	0.000920537	0.008831978	178	178
ADRBK2	0.2463198	0.000918464	0.008816358	178	178
ACSS2	0.007612277	0.919601734	0.959031944	178	178
C3AR1	0.247002699	0.000917268	0.008811005	178	178
ACTA1	0.05808145	0.441244017	0.653780664	178	170
ACTA2	-0.075814277	0.314506587	0.533653079	178	178
ACTBL2	0.014712407	0.845458991	0.921717174	178	170
psiTPTE22	0.246998443	0.00091746	0.008811005	178	177
ACTC1	0.034962234	0.643142342	0.801001238	178	176
ACTG1	-0.024985943	0.74060129	0.862007764	178	178
ACTG2	-0.159048268	0.033960882	0.126040254	178	178
ACTL6A	-0.141026071	0.060427462	0.187287245	178	178
ACTL6B	0.224284809	0.00261515	0.019580454	178	148
ACTL7A	0.048380131	0.521328037	0.715114386	178	9
ACTL7B	-0.129315681	0.085366612	0.236089425	178	53
ACTL8	-0.14273027	0.057356303	0.18091618	178	90
ACTL9	0.018059322	0.810901326	0.903687525	178	12
ACTN1	-0.09110161	0.226508995	0.438042921	178	178
CLEC7A	0.247111218	0.000912385	0.008773344	178	178
ACTN3	0.031079511	0.680463608	0.825417858	178	156
ACTN4	-0.048816479	0.517573386	0.712807921	178	178
ACTR10	-0.122080563	0.104512326	0.270039555	178	178
ACTR1A	-0.088666319	0.23921882	0.452618213	178	178
ACTR1B	0.04324797	0.56650721	0.747255925	178	178
ACTR2	-0.041723386	0.580278148	0.757137585	178	178
ACTR3B	0.060192908	0.424789403	0.63900994	178	178
TRPM8	0.246447585	0.000912651	0.008773344	178	174
ACTR3	-0.088716275	0.238703398	0.452118868	178	178
ACTR5	-0.134202761	0.074105476	0.215241139	178	178
ACTR6	-0.104632427	0.16454285	0.360238078	178	178
ACTR8	0.097386131	0.195936583	0.400780013	178	178
ACTRT1	0.078675388	0.296538833	0.515223521	178	17
ACTRT2	-0.011495404	0.878956368	0.938978024	178	4
SKA1	-0.247160158	0.00091019	0.008758198	178	178
ACVR1C	0.047532314	0.528306081	0.719825964	178	178
ACVR1	0.048243057	0.522510382	0.715764202	178	178
ACVR2A	0.178998722	0.016818284	0.076709016	178	178
CHRDL1	0.246564499	0.000907363	0.008737047	178	177
ACVRL1	0.241791667	0.001182148	0.010752431	178	178
ACY1	-0.114660788	0.127423746	0.305119539	178	178
ACY3	0.193585899	0.009716067	0.051411695	178	178
ACYP1	-0.15507137	0.038747937	0.138854966	178	178
ACYP2	0.178608171	0.017167058	0.077822422	178	178
ADAD2	0.061919174	0.411604732	0.626034303	178	152
ADAL	0.011232769	0.881701431	0.940195363	178	178
ADAM10	0.060448183	0.42246047	0.636960224	178	178
ADAM11	-0.033527018	0.656840331	0.809546291	178	176
ADAM12	-0.075579113	0.315693942	0.534759294	178	178
ADAM15	-0.223582019	0.002699689	0.020084145	178	178
ADAM17	0.041985086	0.577563748	0.755090615	178	178
ADAM18	-0.010521967	0.889137716	0.943778405	178	26
ADAM19	-0.080195462	0.28727533	0.505479834	178	178
ADAM20	-0.104238289	0.166147455	0.362504517	178	161
ADAM21P1	0.001705372	0.981975546	0.991466461	178	115
ADAM21	-0.079117084	0.293826898	0.512055905	178	170
ADAM22	0.052460345	0.486404559	0.688980211	178	178
ADAM23	0.094889082	0.20749352	0.415300966	178	178
ADAM28	0.088122614	0.241869818	0.455065059	178	178
ADAM29	0.065854301	0.382464445	0.599370102	178	114
ADAM2	-0.072350223	0.337191016	0.555819869	178	9
ADAM30	0.109506651	0.145645052	0.333254485	178	5
ADAM32	0.209925431	0.00499014	0.031793012	178	177
ADAM33	0.108634801	0.148779452	0.33827353	178	177
ADAM5P	-0.077552304	0.303508929	0.523013992	178	7
ADAM6	0.144018325	0.055183347	0.176826365	178	178
ADAM7	0.186183941	0.012835561	0.063011514	178	8
ADAM8	-0.164741167	0.028088388	0.110840108	178	178
ADAM9	0.090805795	0.22779008	0.439403086	178	178
ADAMDEC1	0.039781749	0.598037902	0.770046328	178	176
WSCD2	0.24656036	0.00090755	0.008737047	178	174
ADAMTS12	0.021504816	0.775497165	0.883130669	178	178
ADAMTS13	-0.080374199	0.28619895	0.504348814	178	178
ADAMTS14	-0.127631981	0.089543943	0.243751493	178	178
ADAMTS15	0.094148601	0.21107399	0.419897091	178	177
ADAMTS16	0.106658056	0.156346209	0.349332196	178	178
FOXP2	0.247281444	0.000904772	0.008718793	178	177
ADAMTS18	-0.041443688	0.582821331	0.758903529	178	175
ADAMTS19	0.089701371	0.233757224	0.44655737	178	89
ADAMTS1	0.204805895	0.006180476	0.037088886	178	178
ADAMTS20	0.025241656	0.738042735	0.860544792	178	52
ADAMTS2	0.073891751	0.326642937	0.545434676	178	178
ADAMTS3	0.176837825	0.018314422	0.081418476	178	177
ADAMTS4	-0.019121657	0.799819471	0.897340721	178	178
ADAMTS5	-0.01077209	0.88641611	0.942388864	178	178
C14orf180	0.246718779	0.000900428	0.008681164	178	140
ADAMTS7	-0.115826834	0.123579507	0.299321556	178	178
CD84	0.247396346	0.000899667	0.008681164	178	178
FLJ42289	0.246725281	0.000900137	0.008681164	178	178
ADAMTSL1	0.033068473	0.661241276	0.812719139	178	178
ADAMTSL2	0.20152054	0.007072336	0.040878064	178	178
PTCD1	-0.246719962	0.000900375	0.008681164	178	178
ADAMTSL4	-0.063548417	0.39902553	0.614990712	178	178
ADAMTSL5	-0.14101597	0.060497952	0.187446959	178	177
ADAP1	-0.187983448	0.011978222	0.059872942	178	178
ADAP2	0.213890737	0.004146366	0.027616712	178	178
ADARB1	-0.051241104	0.496602376	0.696490204	178	178
RNFT1	0.246775285	0.0008979	0.008681164	178	178
ADAR	-0.052760368	0.483912506	0.687271845	178	178
ADAT1	0.022998546	0.760361461	0.873268867	178	178
ADAT2	-0.020992011	0.780713249	0.88642477	178	178
ADAT3	-0.022669809	0.763902016	0.874848139	178	178
ADA	-0.013040347	0.862712014	0.93108107	178	178
ADCK1	0.059863064	0.427336201	0.641350005	178	178
ADCK2	-0.032699313	0.664792793	0.815687062	178	178
ADCK4	0.016612957	0.825632705	0.911306788	178	178
ADCK5	-0.171311876	0.022335097	0.093758807	178	178
ADCY10	0.044853784	0.552172803	0.737349068	178	153
SLC41A2	0.247383579	0.000900233	0.008681164	178	178
ADCY2	-0.057368193	0.446883167	0.658371908	178	178
ADCY3	0.184185286	0.013850449	0.066600261	178	178
ADCY4	0.136458179	0.069365379	0.205957638	178	178
TCEAL5	0.247417624	0.000898724	0.008681164	178	178
ADCY6	-0.054849917	0.467114979	0.674706471	178	178
ADCY7	-0.084290409	0.263016286	0.479035096	178	178
ADCY8	0.020347554	0.787479108	0.890671617	178	84
CDK1	-0.247460181	0.000896842	0.008676199	178	178
DGKB	0.247534654	0.000893557	0.008648648	178	177
ADAMTS6	-0.246935804	0.000890755	0.008625754	178	178
ADC	-0.133762231	0.075091658	0.216704969	178	178
ADD1	0.03693898	0.624471842	0.788290452	178	178
ADD2	0.127357492	0.09023979	0.244945018	178	178
ADD3	0.102432259	0.173649564	0.372585339	178	178
DTX1	0.247600617	0.000890656	0.008625754	178	178
P2RY8	0.24763679	0.000889069	0.008617868	178	178
NRXN2	0.247045387	0.000885907	0.008591431	178	178
ADH4	-0.089197919	0.236402713	0.449224221	178	157
ADH5	-0.002262937	0.976070783	0.988807876	178	178
ADH6	0.108532666	0.149163482	0.33873393	178	177
ADH7	0.037519247	0.61903556	0.784717556	178	35
VWA5B2	0.247747436	0.000884231	0.008579383	178	178
ADI1	0.195789361	0.008814883	0.048079147	178	178
ADIG	-0.069881586	0.353977502	0.573169925	178	8
CRBN	0.247106161	0.000883229	0.008573868	178	178
ADIPOR1	-0.122014535	0.104665206	0.270224544	178	178
ADIPOR2	0.089560051	0.234497704	0.447573356	178	178
ADK	0.033661071	0.655555961	0.808971766	178	178
ADM2	0.05409986	0.473236831	0.679838274	178	178
RPGRIP1	0.247142334	0.000881638	0.008562632	178	176
ADNP2	0.008326165	0.912168137	0.955563294	178	178
ADNP	-0.040225443	0.593958006	0.766873744	178	178
FAM72D	-0.247828293	0.000880711	0.008557825	178	178
ADORA2A	0.109709409	0.144896229	0.332220834	178	178
ADORA2B	-0.072723578	0.334364873	0.553329233	178	178
ADORA3	0.202607857	0.006765213	0.039637134	178	178
ADO	0.14586535	0.0520428	0.169761518	178	178
ADPGK	-0.022485765	0.765762976	0.876385988	178	178
ADPRHL1	0.175646246	0.019123728	0.083922016	178	178
ADPRHL2	-0.057392663	0.446689032	0.658233021	178	178
CACNA1B	0.247211728	0.000878595	0.00854146	178	173
ADRA1A	0.049089776	0.515228835	0.711045674	178	147
ADRA1B	-0.139066887	0.064168599	0.195813252	178	178
NAPSB	0.247232635	0.000877679	0.00854146	178	178
NUPR1	0.247219868	0.000878238	0.00854146	178	178
ADRA2B	0.017173647	0.820013542	0.908344268	178	178
ZNF582	0.247887872	0.000878125	0.00854146	178	178
ADRB1	0.117018413	0.119744635	0.293229773	178	178
ADRB2	0.143963078	0.055215819	0.176873093	178	178
NBPF14	0.247924045	0.000876559	0.00854115	178	178
ADRBK1	-0.224317062	0.002611329	0.019559247	178	178
WDR93	0.247917662	0.000876835	0.00854115	178	178
ADRM1	-0.143880016	0.05541938	0.177324081	178	178
ADSL	0.040512634	0.590990373	0.764756471	178	178
ADSSL1	0.127285281	0.090431305	0.245192463	178	178
ADSS	-0.095506201	0.204749613	0.41187149	178	178
AEBP1	-0.128643828	0.08701671	0.239314105	178	178
AEBP2	0.121303908	0.106754083	0.273462149	178	178
AEN	-0.057093704	0.449064115	0.660401662	178	178
AES	-0.049968668	0.507364697	0.704541754	178	178
AFAP1L1	0.035456933	0.638139683	0.797382249	178	178
AFAP1L2	0.010123105	0.893217814	0.945580013	178	178
AFAP1	-0.147431427	0.04954542	0.164105717	178	178
AFARP1	-0.104920493	0.163377423	0.358530317	178	168
AFF1	0.211236168	0.004720562	0.030474828	178	178
AFF2	0.188828092	0.011691462	0.058856153	178	178
AFF3	0.092974044	0.216844045	0.426357179	178	178
AFF4	0.042568109	0.572287147	0.751371493	178	178
AFG3L1	-0.052012495	0.490501632	0.691367951	178	178
AFG3L2	2.66E-05	0.999729827	0.999960512	178	178
KIF4A	-0.247284767	0.000875401	0.008535595	178	178
LRFN5	0.247977241	0.00087426	0.008528671	178	177
AFP	0.122851835	0.102322949	0.266368303	178	105
AFTPH	0.124445702	0.097913248	0.258738016	178	178
AG2	-0.0081953	0.913466378	0.956134673	178	178
AGAP11	0.066539104	0.377524606	0.594834388	178	178
AGAP1	0.054479647	0.469765423	0.677006588	178	178
AGAP2	0.114862931	0.126750775	0.303912918	178	178
AGAP3	-0.19932463	0.007730764	0.043577002	178	178
AGAP4	-0.019945134	0.791585117	0.892643772	178	178
AGAP5	0.110722252	0.141199334	0.326596751	178	178
AGAP6	-0.090758016	0.228272692	0.43983671	178	178
AGAP7	-0.150654996	0.044797868	0.153160221	178	178
AGAP8	0.042878771	0.569484851	0.749260246	178	178
AGA	0.212159755	0.004468257	0.029169236	178	178
AGBL1	-0.101637334	0.177030029	0.37705642	178	53
AGBL2	0.046883328	0.533957222	0.723877012	178	178
AGBL3	0.223951077	0.002654991	0.019833697	178	178
AGBL4	0.144659387	0.054036299	0.174337377	178	159
AGBL5	0.216545079	0.003757615	0.025707508	178	178
AGER	-0.013976588	0.852962409	0.925587962	178	178
AGFG1	-0.031451328	0.676854032	0.823232355	178	178
AGFG2	0.184225617	0.013930862	0.066812723	178	178
AGGF1	0.107971036	0.151412037	0.342262068	178	178
AGK	-0.166128682	0.026674982	0.106689138	178	178
AGL	0.165948793	0.026842017	0.107183771	178	178
AGMAT	-0.21460485	0.004019763	0.027036324	178	178
AGPAT1	-0.059114039	0.432786963	0.646906751	178	178
AGPAT2	0.013387181	0.859097723	0.928904111	178	178
CLEC12A	0.247340222	0.000872984	0.008523648	178	176
AGPAT4	0.054841376	0.46681812	0.674524041	178	178
AGPAT5	-0.051530543	0.494535073	0.69470432	178	178
LUZP4	-0.247332643	0.000873314	0.008523648	178	37
AGPAT9	-0.025139133	0.738830563	0.861011054	178	178
AGPHD1	0.15144769	0.043592931	0.15007079	178	178
AGPS	-0.002873623	0.969632763	0.985575132	178	178
AGR2	-0.042410673	0.574050935	0.753087189	178	176
AGR3	-0.115131281	0.125938941	0.302884532	178	175
AGRN	0.100508655	0.181739756	0.383647835	178	178
AGRP	0.02139807	0.776788214	0.883735697	178	155
AGTPBP1	0.092163344	0.220891859	0.431467716	178	178
AGTR1	0.160287639	0.032672706	0.122524198	178	178
DNTTIP1	-0.247367883	0.00087178	0.008517088	178	178
AGTRAP	0.06165469	0.413609018	0.6279718	178	178
FLG2	0.247375411	0.000871453	0.008517088	178	92
AGXT2L1	0.060184828	0.424851687	0.639055017	178	122
AGXT2L2	0.084696823	0.260715381	0.476512241	178	178
AGXT2	-0.05890996	0.434744689	0.648247459	178	33
AGXT	-0.204834494	0.006093213	0.036767529	178	138
AHCTF1	0.001886313	0.980054327	0.990726152	178	178
FAM19A4	0.247393973	0.000870647	0.008514425	178	121
AHCYL2	0.10664641	0.156523786	0.349649949	178	178
AHCY	-0.045259874	0.548575992	0.734530178	178	178
AHDC1	0.00869321	0.908230733	0.953327882	178	178
AHI1	0.048276038	0.522225774	0.71567624	178	178
AHNAK2	-0.063256906	0.401195399	0.616748644	178	178
AHNAK	0.034197264	0.650127474	0.805792947	178	178
AHRR	0.018582265	0.805532881	0.90078475	178	178
AHR	-0.061957937	0.411311462	0.625941613	178	178
AHSA1	-0.20777846	0.005461685	0.033922648	178	178
AHSA2	-0.009344323	0.901390127	0.949818012	178	178
AHSG	-0.067625825	0.369765982	0.587525314	178	155
AHSP	0.053778014	0.475877041	0.681470251	178	78
AICDA	0.012306779	0.870485128	0.935119627	178	157
AIDA	-0.121358167	0.106596249	0.27320957	178	178
AIF1L	0.150312417	0.045290669	0.15449866	178	178
AIF1	0.204886752	0.006159855	0.037011538	178	178
AIFM1	0.07654412	0.309857137	0.52890409	178	178
AIFM2	-0.033837698	0.653865224	0.808309164	178	178
AIFM3	-0.15435102	0.039761039	0.141225538	178	178
AIG1	-0.012160499	0.872011316	0.935599183	178	178
AIM1L	-0.200021597	0.007430083	0.042365184	178	177
AIM1	0.135953886	0.070408549	0.208048213	178	178
AIM2	0.092348661	0.220188828	0.430408648	178	175
AIMP1	-0.214388762	0.0040577	0.027235902	178	178
AIMP2	-0.126365928	0.092789553	0.249262413	178	178
AIPL1	0.017892034	0.81262055	0.90456714	178	53
AIP	-0.086024583	0.253294885	0.467847092	178	178
AIRE	-0.008342351	0.911998082	0.955486387	178	140
AKNAD1	-0.247427739	0.000869181	0.008504301	178	140
AK1	-0.14169482	0.059206564	0.184631854	178	178
AK2	-0.217829335	0.00349035	0.024302175	178	178
AK3L1	-0.188542001	0.01172255	0.058978955	178	178
AK3	0.14891247	0.047276135	0.158748497	178	178
ACCN1	0.247528647	0.000864816	0.008465777	178	167
AK7	0.197203193	0.008418126	0.046393539	178	178
AKAP10	0.138926525	0.06439556	0.196199004	178	178
AKAP11	-0.062602701	0.406451443	0.621350663	178	178
AKAP12	0.070692611	0.348405783	0.567306979	178	178
AKAP13	0.103636606	0.168619469	0.365962176	178	178
AKAP14	-0.081038181	0.282224034	0.49934664	178	57
AKAP1	-0.105049424	0.162715021	0.357821043	178	178
AKAP2	0.03319295	0.660045431	0.812229017	178	176
AKAP3	0.217921779	0.003538772	0.024587381	178	177
AKAP4	-0.028433069	0.706360843	0.841217737	178	60
AKAP5	-0.096277587	0.201099424	0.407659028	178	178
AKAP6	0.238980817	0.001352586	0.011915852	178	178
IL17RD	0.247583726	0.000862442	0.008446716	178	178
AKAP8L	-0.076591955	0.309238153	0.528237321	178	178
AKAP8	-0.055844822	0.459062339	0.668472151	178	178
AKAP9	0.133013238	0.076748879	0.21970967	178	178
AKD1	0.026456268	0.725929547	0.853888053	178	178
AKIRIN1	-0.06370059	0.398254544	0.614281229	178	178
AKIRIN2	0.03706988	0.623243704	0.787678705	178	178
OTOF	0.247587981	0.000862258	0.008446716	178	177
AKNA	0.110549898	0.141823301	0.327525139	178	178
AKR1A1	0.017825852	0.813300952	0.904969502	178	178
AKR1B10	0.055879782	0.458780783	0.668389418	178	176
AKR1B15	-0.109283524	0.146472494	0.334582406	178	154
AKR1B1	0.05593082	0.458003412	0.667740136	178	178
MYOM1	0.248275136	0.000861489	0.008445749	178	178
AKR1C2	0.135387886	0.071594556	0.21026448	178	178
AKR1C3	0.045719411	0.544167626	0.731500384	178	178
AKR1C4	0.047041561	0.532932132	0.723131818	178	166
AKR1CL1	-0.098109315	0.192620804	0.396676087	178	50
AKR1D1	0.072823411	0.334032301	0.553021431	178	66
ACTB	-0.247685993	0.000858049	0.0084162	178	178
AKR7A2	-0.075742995	0.314963113	0.534094897	178	178
